functional_group,ComName,SciName,cosewic_status,,,,
Benthic fish,American plaice,Hippoglossoides platessoides,Threatened,,,,
Benthic fish,Atlantic halibut,Hippoglossus hippoglossus,Not at Risk,,,,
Benthic fish,Atlantic wolffish,Anarhichas lupus,Special Concern,,,,
Benthic fish,Cusk,Brosme brosme,Endangered,,,,
Benthic fish,Little skate,Leucoraja erinacea,,,,,
Benthic fish,Monkfish,Lophius americanus,,,,,
Benthic fish,Smooth skate,Malacoraja senta,Endangered,,,,
Benthic fish,Thorny skate,Amblyraja radiata,Special Concern,,,,
Benthic fish,Winter skate,Leucoraja ocellata,Endangered,,,,
Benthic fish,Witch flounder,Glyptocephalus cynoglossus,,,,,
Pelagic Fish/Cepholopods,(ESS/WSS) Atlantic cod,Gadus morhua,,,,,
Pelagic Fish/Cepholopods,Basking shark,Cetorhinus maximus,Special concern,,,,
Pelagic Fish/Cepholopods,Common shortfin squid,Illex illecebrosus,,,,,
Pelagic Fish/Cepholopods,(ESS/WSS)haddock,Melanogrammus aeglefinus,,,,,
Pelagic Fish/Cepholopods,(ESS/WSS)pollock,Pollachius virens,,,,,
Pelagic Fish/Cepholopods,Porbeagle shark,Lamna nasus,Endangered,,,,
Pelagic Fish/Cepholopods,Acadian redfish,Sebastes fasciatus,Threathened,,,,
Pelagic Fish/Cepholopods,Deepwater redfish,Sebastes mentella,Endangered,,,,
Pelagic Fish/Cepholopods,Spiny dogfish,Squalus acanthias,Special Concern,,,,
Pelagic Fish/Cepholopods,White hake,Urophycis tenuis,Threatened,,,,
Pelagic Fish/Cepholopods,White shark,Carcharodon carcharias,Endangered ,,,,
Benthic Invertebrates,American lobster,Homarus americanus,,,,,
Benthic Invertebrates,Northern shrimp,Pandalus borealis,,,,,
Benthic Invertebrates,Snow crab,Chionoecetes opilio,,,,,
Mammals/Reptiles,Blue whale,Balaenoptera musculus,Endangered,,,,
Mammals/Reptiles,Loggerhead turtle,Caretta caretta,Endangered,,,,
Mammals/Reptiles,North Atlantic Right whale,Eubalaena glacialis,Endangered,,,,
Mammals/Reptiles,Northern Bottlenose whale,Hyperoodon ampullatus,Endangered,,,,
Copepod,Copepod (1),Calanus glacialis,,,,,
Copepod,Copepod (2),Calanus finmarchicus,,,,,
